timestamp,long_flux_pred,goes_class_pred
2025-08-02 00:00:00,1.5845669256783104e-06,C
2025-08-02 01:00:00,2.640348512756243e-06,C
2025-08-02 02:00:00,2.5894286310053413e-06,C
2025-08-02 03:00:00,1.4985821809608753e-06,C
2025-08-02 04:00:00,1.873034609176552e-06,C
2025-08-02 05:00:00,2.4788662177961375e-06,C
2025-08-02 06:00:00,2.3665141349731286e-06,C
2025-08-02 07:00:00,2.0758778883032494e-06,C
2025-08-02 08:00:00,2.1455627216733798e-06,C
2025-08-02 09:00:00,2.245295856516468e-06,C
2025-08-02 10:00:00,2.2655648641157923e-06,C
2025-08-02 11:00:00,2.1387247096153916e-06,C
2025-08-02 12:00:00,2.0562950999908234e-06,C
2025-08-02 13:00:00,2.201216399426773e-06,C
2025-08-02 14:00:00,2.1362955943330607e-06,C
2025-08-02 15:00:00,2.0955180687257548e-06,C
2025-08-02 16:00:00,2.094430736755393e-06,C
2025-08-02 17:00:00,2.096913953986058e-06,C
2025-08-02 18:00:00,2.0718471954063425e-06,C
2025-08-02 19:00:00,2.079369015123022e-06,C
2025-08-02 20:00:00,2.073657450329003e-06,C
2025-08-02 21:00:00,2.073175502994749e-06,C
2025-08-02 22:00:00,2.077436569056228e-06,C
2025-08-02 23:00:00,2.0714507179271333e-06,C
