timestamp,long_flux,short_flux,goes_class
2025-07-28 00:00:00,9.697353899265763e-07,3.592684650779043e-08,B
2025-07-28 00:01:00,9.781861248872e-07,3.498860398495395e-08,B
2025-07-28 00:02:00,9.867588113459041e-07,3.457278179588625e-08,B
2025-07-28 00:03:00,9.848196344539812e-07,3.666423186912272e-08,B
2025-07-28 00:04:00,9.832789429743033e-07,3.2884882023293984e-08,B
2025-07-28 00:05:00,9.853849431864114e-07,3.198197448221046e-08,B
2025-07-28 00:06:00,9.938607759142512e-07,3.292835894299046e-08,B
2025-07-28 00:07:00,1.000938053665345e-06,3.393773806972037e-08,C
2025-07-28 00:08:00,1.0412678815943062e-06,3.6004463148591656e-08,C
2025-07-28 00:09:00,1.0447586415377045e-06,3.678667262246951e-08,C
2025-07-28 00:10:00,1.0155438173167002e-06,3.3840642768886306e-08,C
2025-07-28 00:11:00,9.842738164912051e-07,3.2729488088779785e-08,B
2025-07-28 00:12:00,9.73169633533737e-07,3.339985563167706e-08,B
2025-07-28 00:13:00,9.722490935033778e-07,3.1627716271102006e-08,B
2025-07-28 00:14:00,9.536660368361421e-07,3.3982596234262126e-08,B
2025-07-28 00:15:00,9.490231959120377e-07,3.2436790848928224e-08,B
2025-07-28 00:16:00,9.463173243051135e-07,3.0312656413189293e-08,B
2025-07-28 00:17:00,9.445224709899597e-07,3.2294669845437874e-08,B
2025-07-28 00:18:00,9.380611000689568e-07,2.9732560704926006e-08,B
2025-07-28 00:19:00,9.397062837303908e-07,3.126299940237418e-08,B
2025-07-28 00:20:00,9.400352198218704e-07,3.1020857591218443e-08,B
2025-07-28 00:21:00,9.410440181126745e-07,3.222759999849385e-08,B
2025-07-28 00:22:00,9.344860730186052e-07,2.968937913003461e-08,B
2025-07-28 00:23:00,9.353167258984182e-07,3.131506691114864e-08,B
2025-07-28 00:24:00,9.366175428098001e-07,2.995046002737311e-08,B
2025-07-28 00:25:00,9.37699229273333e-07,2.823785065520492e-08,B
2025-07-28 00:26:00,9.382366027269006e-07,2.9610846998417257e-08,B
2025-07-28 00:27:00,9.362308323719934e-07,3.070579118473858e-08,B
2025-07-28 00:28:00,9.352721550668753e-07,2.8985603789661753e-08,B
2025-07-28 00:29:00,9.371108831146557e-07,2.886092195103769e-08,B
2025-07-28 00:30:00,9.372875720295209e-07,2.9749471301710454e-08,B
2025-07-28 00:31:00,9.378468348586466e-07,3.0122961902634415e-08,B
2025-07-28 00:32:00,9.36212588430117e-07,3.014186371171409e-08,B
2025-07-28 00:33:00,9.320263623029874e-07,2.9041708112579644e-08,B
2025-07-28 00:34:00,9.270617419670237e-07,2.9633518538836407e-08,B
2025-07-28 00:35:00,9.220990412612709e-07,2.833583276215023e-08,B
2025-07-28 00:36:00,9.173638213947835e-07,2.9089402369593376e-08,B
2025-07-28 00:37:00,9.174330016992557e-07,2.712017071207268e-08,B
2025-07-28 00:38:00,9.216608921886917e-07,2.8813004790816223e-08,B
2025-07-28 00:39:00,9.307329061484183e-07,2.9264075112165735e-08,B
2025-07-28 00:40:00,9.329087874232114e-07,2.7361678161812562e-08,B
2025-07-28 00:41:00,9.281215903072615e-07,2.83707571606782e-08,B
2025-07-28 00:42:00,9.387241459348918e-07,2.988513288113049e-08,B
